mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
opel,vectra,gen-b-1995-2002,1998,401315,1998,LPG,Mogilno,Kujawsko-pomorskie,2000
opel,vectra,gen-b-1995-2002,2002,149337,1994,Diesel,Paniówki,Śląskie,7490
opel,vectra,gen-b-1995-2002,2000,241252,1598,Gasoline,Złotów,Wielkopolskie,5499
opel,vectra,gen-b-1995-2002,2000,131000,2498,Gasoline,Świdnica,Dolnośląskie,9600
opel,vectra,gen-b-1995-2002,2000,200000,1796,LPG,Jaworzno,Śląskie,4700
opel,vectra,gen-b-1995-2002,2000,143000,1796,Gasoline,Radom,Mazowieckie,6000
opel,vectra,gen-b-1995-2002,2001,255000,1796,Gasoline,Nieporęt,Mazowieckie,2550
opel,vectra,gen-b-1995-2002,1996,120000,1796,Gasoline,Wrocław,Dolnośląskie,4000
opel,vectra,gen-b-1995-2002,1998,303000,1998,LPG,Ostrów Wielkopolski,Wielkopolskie,2350
opel,vectra,gen-b-1995-2002,2000,260000,1598,LPG,Grajewo,Podlaskie,3000
opel,vectra,gen-b-1995-2002,1996,142000,1998,Gasoline,Łask,Łódzkie,4400
opel,vectra,gen-b-1995-2002,2000,198465,1598,Gasoline,Grudziądz,Kujawsko-pomorskie,3900
opel,vectra,gen-b-1995-2002,1999,326492,1799,LPG,Jelcz-Laskowice,Dolnośląskie,4500
opel,vectra,gen-b-1995-2002,1998,122057,1998,Gasoline,Długołęka,Dolnośląskie,6300
opel,vectra,gen-b-1995-2002,1998,198600,1799,Gasoline,Świebodzice,Dolnośląskie,1950
opel,vectra,gen-b-1995-2002,1999,275162,1598,Gasoline,Wrocław,Dolnośląskie,2800
opel,vectra,gen-b-1995-2002,1998,200000,1799,LPG,Działoszyce,Świętokrzyskie,2999
opel,vectra,gen-b-1995-2002,1997,113000,2498,Gasoline,Łódź,Łódzkie,12900
opel,vectra,gen-b-1995-2002,1999,304000,1598,LPG,Zduńska Wola,Łódzkie,5900
opel,vectra,gen-b-1995-2002,1999,290000,1995,Diesel,Stare Babice,Mazowieckie,3300
opel,vectra,gen-b-1995-2002,2001,250000,2198,LPG,Stare Babice,Mazowieckie,5900
opel,vectra,gen-b-1995-2002,1997,153000,1598,Gasoline,Krasnystaw,Lubelskie,2999
opel,vectra,gen-b-1995-2002,2004,258015,1796,Gasoline,Kutno,Łódzkie,7400
opel,vectra,gen-b-1995-2002,1998,152000,1598,Gasoline,Orzesze,Śląskie,3500
opel,vectra,gen-c-2002-2008,2007,229000,1910,Diesel,Łagów,Świętokrzyskie,14900
opel,vectra,gen-c-2002-2008,2008,253477,1910,Diesel,Szczyglice,Dolnośląskie,9999
opel,vectra,gen-c-2002-2008,2008,230000,1910,Diesel,Nowy Tomyśl,Wielkopolskie,19500
opel,vectra,gen-c-2002-2008,2007,208700,1796,LPG,Szczecin,Zachodniopomorskie,14900
opel,vectra,gen-c-2002-2008,2006,240000,1910,Diesel,Mielec,Podkarpackie,8900
opel,vectra,gen-c-2002-2008,2004,272130,2171,Diesel,Jankowo Gdańskie,Pomorskie,6499
opel,vectra,gen-c-2002-2008,2005,260918,1910,Diesel,Bukowiec,Kujawsko-pomorskie,11000
opel,vectra,gen-c-2002-2008,2004,226012,1796,LPG,Gdańsk,Pomorskie,6500
opel,vectra,gen-c-2002-2008,2005,143000,2198,Gasoline,Stargard Szczeciński,Zachodniopomorskie,15998
opel,vectra,gen-c-2002-2008,2007,330000,1796,LPG,Ostróda,Warmińsko-mazurskie,12900
opel,vectra,gen-c-2002-2008,2007,315142,1910,Diesel,Zwoleń,Mazowieckie,13900
opel,vectra,gen-c-2002-2008,2007,245626,1998,Gasoline,Płock,Mazowieckie,11900
opel,vectra,gen-c-2002-2008,2002,198000,1796,Gasoline,Dąbrowa Górnicza,Śląskie,9900
opel,vectra,gen-c-2002-2008,2007,180000,1796,Gasoline,Września,Wielkopolskie,18900
opel,vectra,gen-c-2002-2008,2006,170000,1796,Gasoline,Tomaszów Bolesławiecki,Dolnośląskie,12500
opel,vectra,gen-c-2002-2008,2002,271000,1796,LPG,Tarczyn,Mazowieckie,7900
opel,vectra,gen-c-2002-2008,2005,149000,1796,Gasoline,Września,Wielkopolskie,13900
opel,vectra,gen-c-2002-2008,2008,187000,1796,Gasoline,Goleniów,Zachodniopomorskie,12900
opel,vectra,gen-c-2002-2008,2004,207713,3175,Gasoline,Michałowice,Małopolskie,14999
opel,vectra,gen-c-2002-2008,2006,197193,1910,Diesel,Siedlce,Małopolskie,15600
opel,vectra,gen-c-2002-2008,2008,310000,1910,Diesel,Góra Kalwaria,Mazowieckie,8900
opel,vectra,gen-c-2002-2008,2004,122000,1796,Gasoline,Kłodzko,Dolnośląskie,9900
opel,vectra,gen-c-2002-2008,2006,218400,2792,Gasoline,Mogilno,Kujawsko-pomorskie,15999
opel,vectra,gen-c-2002-2008,2007,253000,1910,Diesel,Niepołomice,Małopolskie,7500
opel,vectra,gen-c-2002-2008,2008,276795,1910,Diesel,Nowe Proboszczewice,Mazowieckie,9000
opel,vectra,gen-c-2002-2008,2004,253601,1796,Gasoline,Zabrze,Śląskie,11000
opel,vectra,gen-c-2002-2008,2002,191350,1796,Gasoline,Zduńska Wola,Łódzkie,8990
opel,vectra,gen-c-2002-2008,2008,214000,1910,Diesel,Józefosław,Mazowieckie,13000
opel,vectra,gen-c-2002-2008,2006,233790,2792,Gasoline,Lublin,Lubelskie,25900
opel,vectra,gen-c-2002-2008,2007,236000,1910,Diesel,Piaseczno,Mazowieckie,15900
opel,vectra,gen-c-2002-2008,2005,272600,1910,Diesel,Kostrzyn,Wielkopolskie,7600
opel,vectra,gen-c-2002-2008,2008,180000,1910,Diesel,Szczecin,Zachodniopomorskie,13500
opel,vectra,gen-c-2002-2008,2007,229000,1910,Diesel,Łagów,Świętokrzyskie,14900
opel,vectra,gen-c-2002-2008,2008,253477,1910,Diesel,Szczyglice,Dolnośląskie,9999
opel,vectra,gen-c-2002-2008,2008,230000,1910,Diesel,Nowy Tomyśl,Wielkopolskie,19500
opel,vectra,gen-c-2002-2008,2007,208700,1796,LPG,Szczecin,Zachodniopomorskie,14900
opel,vectra,gen-c-2002-2008,2006,240000,1910,Diesel,Mielec,Podkarpackie,8900
opel,vectra,gen-c-2002-2008,2004,272130,2171,Diesel,Jankowo Gdańskie,Pomorskie,6499
opel,vectra,gen-c-2002-2008,2005,260918,1910,Diesel,Bukowiec,Kujawsko-pomorskie,11000
opel,vectra,gen-c-2002-2008,2004,226012,1796,LPG,Gdańsk,Pomorskie,6500
opel,vectra,gen-c-2002-2008,2005,143000,2198,Gasoline,Stargard Szczeciński,Zachodniopomorskie,15998
opel,vectra,gen-c-2002-2008,2007,330000,1796,LPG,Ostróda,Warmińsko-mazurskie,12900
opel,vectra,gen-c-2002-2008,2007,315142,1910,Diesel,Zwoleń,Mazowieckie,13900
opel,vectra,gen-c-2002-2008,2007,245626,1998,Gasoline,Płock,Mazowieckie,11900
opel,vectra,gen-c-2002-2008,2002,198000,1796,Gasoline,Dąbrowa Górnicza,Śląskie,9900
opel,vectra,gen-c-2002-2008,2007,180000,1796,Gasoline,Września,Wielkopolskie,18900
opel,vectra,gen-c-2002-2008,2006,170000,1796,Gasoline,Tomaszów Bolesławiecki,Dolnośląskie,12500
opel,vectra,gen-c-2002-2008,2002,271000,1796,LPG,Tarczyn,Mazowieckie,7900
opel,vectra,gen-c-2002-2008,2005,149000,1796,Gasoline,Września,Wielkopolskie,13900
opel,vectra,gen-c-2002-2008,2008,187000,1796,Gasoline,Goleniów,Zachodniopomorskie,12900
opel,vectra,gen-c-2002-2008,2004,207713,3175,Gasoline,Michałowice,Małopolskie,14999
opel,vectra,gen-c-2002-2008,2006,197193,1910,Diesel,Siedlce,Małopolskie,15600
opel,vectra,gen-c-2002-2008,2008,310000,1910,Diesel,Góra Kalwaria,Mazowieckie,8900
opel,vectra,gen-c-2002-2008,2004,122000,1796,Gasoline,Kłodzko,Dolnośląskie,9900
opel,vectra,gen-c-2002-2008,2006,218400,2792,Gasoline,Mogilno,Kujawsko-pomorskie,15999
opel,vectra,gen-c-2002-2008,2007,253000,1910,Diesel,Niepołomice,Małopolskie,7500
opel,vectra,gen-c-2002-2008,2008,276795,1910,Diesel,Nowe Proboszczewice,Mazowieckie,9000
opel,vectra,gen-c-2002-2008,2004,253601,1796,Gasoline,Zabrze,Śląskie,11000
opel,vectra,gen-c-2002-2008,2002,191350,1796,Gasoline,Zduńska Wola,Łódzkie,8990
opel,vectra,gen-c-2002-2008,2008,214000,1910,Diesel,Józefosław,Mazowieckie,13000
opel,vectra,gen-c-2002-2008,2006,233790,2792,Gasoline,Lublin,Lubelskie,25900
opel,vectra,gen-c-2002-2008,2007,236000,1910,Diesel,Piaseczno,Mazowieckie,15900
opel,vectra,gen-c-2002-2008,2005,272600,1910,Diesel,Kostrzyn,Wielkopolskie,7600
opel,vectra,gen-c-2002-2008,2008,180000,1910,Diesel,Szczecin,Zachodniopomorskie,13500
opel,vectra,gen-c-2002-2008,2005,327255,1910,Diesel,Kraków,Małopolskie,10900
opel,vectra,gen-c-2002-2008,2004,398119,1910,Diesel,Lublin,Lubelskie,4500
opel,vectra,gen-c-2002-2008,2004,169117,1597,Gasoline,Poznań,Wielkopolskie,8500
opel,vectra,gen-c-2002-2008,2006,157000,1796,Gasoline,Sade Budy,Mazowieckie,16800
opel,vectra,gen-c-2002-2008,2007,320000,1910,Diesel,Michów,Lubelskie,8500
opel,vectra,gen-c-2002-2008,2008,206570,2198,Gasoline,Konin,Śląskie,18900
opel,vectra,gen-c-2002-2008,2008,232000,1910,Diesel,Częstochowa,Śląskie,18900
opel,vectra,gen-c-2002-2008,2005,375000,1910,Diesel,Rudawa,Małopolskie,3800
opel,vectra,gen-c-2002-2008,2002,242000,1796,Gasoline,Borów,Dolnośląskie,7900
opel,vectra,gen-c-2002-2008,2007,221000,1910,Diesel,Szynkielów,Łódzkie,13500
opel,vectra,gen-c-2002-2008,2006,268000,1910,Diesel,Sochaczew,Mazowieckie,7900
opel,vectra,gen-c-2002-2008,2007,132000,1598,Gasoline,Zawisna,Śląskie,13900
opel,vectra,gen-c-2002-2008,2005,236215,2198,Gasoline,Środa Śląska,Dolnośląskie,7850
opel,vectra,gen-c-2002-2008,2006,160000,2198,Gasoline,Bydgoszcz,Kujawsko-pomorskie,15200
opel,vectra,gen-c-2002-2008,2003,350000,3175,Gasoline,Drawsko Pomorskie,Zachodniopomorskie,6850
opel,vectra,gen-c-2002-2008,2008,238000,2958,Diesel,Poznań,Wielkopolskie,11000
opel,vectra,gen-c-2002-2008,2007,199000,2792,Gasoline,Swarzędz,Wielkopolskie,19999
opel,vectra,gen-c-2002-2008,2005,301000,1998,LPG,Szamotuły,Wielkopolskie,8500
opel,vectra,gen-c-2002-2008,2003,286000,1796,Gasoline,Panki,Śląskie,7000
opel,vectra,gen-c-2002-2008,2005,296100,1995,Diesel,Siedlce,Mazowieckie,5500
opel,vectra,gen-c-2002-2008,2007,173000,2792,Gasoline,Poznań,Wielkopolskie,28500
opel,vectra,gen-c-2002-2008,2002,173000,1796,Gasoline,Mysłowice,Śląskie,6900
opel,vectra,gen-c-2002-2008,2002,109900,1796,Gasoline,Mogilno,Kujawsko-pomorskie,8999
opel,vectra,gen-c-2002-2008,2002,152700,1796,Gasoline,Żywocice,Opolskie,7999
opel,vectra,gen-c-2002-2008,2002,220000,2198,LPG,Szczecin,Zachodniopomorskie,4500
opel,vectra,gen-c-2002-2008,2006,400000,1910,Diesel,Grodzisk Mazowiecki,Mazowieckie,11000
opel,vectra,gen-c-2002-2008,2006,191000,1796,Gasoline,Płońsk,Mazowieckie,13900
opel,vectra,gen-c-2002-2008,2008,283340,1910,Diesel,Białystok,Podlaskie,10500
opel,vectra,gen-c-2002-2008,2005,174000,3000,Diesel,Sade Budy,Mazowieckie,7200
opel,vectra,gen-c-2002-2008,2008,223000,1910,Diesel,Witkowo,Wielkopolskie,16950
opel,vectra,gen-c-2002-2008,2003,281185,1796,LPG,Poznań,Wielkopolskie,13000
opel,vectra,gen-c-2002-2008,2008,320000,1910,Diesel,Stargard Szczeciński,Zachodniopomorskie,8900
opel,adam,,2013,101514,1398,Gasoline,Warszawa,Mazowieckie,29900
opel,adam,,2014,98317,1398,LPG,Janki,Mazowieckie,36900
opel,adam,,2017,96511,1364,Gasoline,Warszawa,Mazowieckie,48900
opel,adam,,2013,141399,1398,Gasoline,Warszawa,Mazowieckie,31300
opel,adam,,2014,60936,1398,Gasoline,Warszawa,Mazowieckie,40900
opel,adam,,2015,72279,999,Gasoline,Lublin,Lubelskie,43500
opel,adam,,2015,91773,1398,Gasoline,Katowice,Śląskie,35700
opel,adam,,2018,34000,1398,Gasoline,Złotniki,Opolskie,43500
opel,adam,,2014,100053,1398,Gasoline,Leoncin,Mazowieckie,31500
opel,adam,,2014,109330,1398,Gasoline,Warszawa,Mazowieckie,32500
opel,adam,,2014,121311,1398,Gasoline,Warszawa,Mazowieckie,33500
opel,adam,,2013,91512,1398,Gasoline,Warszawa,Mazowieckie,32900
opel,adam,,2018,8049,1398,Gasoline,Warszawa,Mazowieckie,46600
opel,adam,,2014,81932,1229,Gasoline,Lublin,Lubelskie,27900
opel,adam,,2015,95988,999,Gasoline,Katowice,Śląskie,41500
opel,adam,,2017,91955,1229,Gasoline,Warszawa,Mazowieckie,36500
opel,adam,,2015,39007,1398,Gasoline,Warszawa,Mazowieckie,38900
opel,adam,,2015,106000,999,Gasoline,Łódź,Łódzkie,38000
opel,adam,,2015,91000,1229,Gasoline,Biała Podlaska,Lubelskie,35300
opel,adam,,2018,37000,1229,Gasoline,Gliwice,Śląskie,37900
opel,adam,,2014,78000,1229,Gasoline,Krzyszkowice,Małopolskie,20999
opel,adam,,2019,21000,1398,Gasoline,Gniezno,Wielkopolskie,47800
opel,adam,,2013,50000,1229,Gasoline,Wągrowiec,Wielkopolskie,22900
opel,adam,,2013,102748,1398,Gasoline,Krotoszyn,Wielkopolskie,28500
opel,adam,,2015,10000,1398,Gasoline,Piotrków Trybunalski,Łódzkie,31000
opel,adam,,2013,130000,1398,Gasoline,Raszyn,Mazowieckie,33900
opel,adam,,2014,36434,1398,Gasoline,Masłowo,Wielkopolskie,31999
opel,adam,,2017,48000,999,Gasoline,Warszawa,Mazowieckie,35500
opel,adam,,2016,54000,999,Gasoline,Pszczyna,Śląskie,36900
opel,adam,,2013,18690,1398,Gasoline,Warszawa,Mazowieckie,26999
opel,adam,,2019,27900,1398,Gasoline,Bydgoszcz,Kujawsko-pomorskie,49000
opel,adam,,2013,162663,1398,Gasoline,Gdańsk,Pomorskie,24900
opel,adam,,2013,101514,1398,Gasoline,Warszawa,Mazowieckie,29900
opel,adam,,2014,98317,1398,LPG,Janki,Mazowieckie,36900
opel,adam,,2017,96511,1364,Gasoline,Warszawa,Mazowieckie,48900
opel,adam,,2013,141399,1398,Gasoline,Warszawa,Mazowieckie,31300
opel,adam,,2014,60936,1398,Gasoline,Warszawa,Mazowieckie,40900
opel,adam,,2015,72279,999,Gasoline,Lublin,Lubelskie,43500
opel,adam,,2015,91773,1398,Gasoline,Katowice,Śląskie,35700
opel,adam,,2018,34000,1398,Gasoline,Złotniki,Opolskie,43500
opel,adam,,2014,100053,1398,Gasoline,Leoncin,Mazowieckie,31500
opel,adam,,2014,109330,1398,Gasoline,Warszawa,Mazowieckie,32500
opel,adam,,2014,121311,1398,Gasoline,Warszawa,Mazowieckie,33500
opel,adam,,2013,91512,1398,Gasoline,Warszawa,Mazowieckie,32900
opel,adam,,2018,8049,1398,Gasoline,Warszawa,Mazowieckie,46600
opel,adam,,2014,81932,1229,Gasoline,Lublin,Lubelskie,27900
opel,adam,,2015,95988,999,Gasoline,Katowice,Śląskie,41500
opel,adam,,2017,91955,1229,Gasoline,Warszawa,Mazowieckie,36500
opel,adam,,2015,39007,1398,Gasoline,Warszawa,Mazowieckie,38900
opel,adam,,2015,106000,999,Gasoline,Łódź,Łódzkie,38000
opel,adam,,2015,91000,1229,Gasoline,Biała Podlaska,Lubelskie,35300
opel,adam,,2018,37000,1229,Gasoline,Gliwice,Śląskie,37900
opel,adam,,2014,78000,1229,Gasoline,Krzyszkowice,Małopolskie,20999
opel,adam,,2019,21000,1398,Gasoline,Gniezno,Wielkopolskie,47800
opel,adam,,2013,50000,1229,Gasoline,Wągrowiec,Wielkopolskie,22900
opel,adam,,2013,102748,1398,Gasoline,Krotoszyn,Wielkopolskie,28500
opel,adam,,2015,10000,1398,Gasoline,Piotrków Trybunalski,Łódzkie,31000
opel,adam,,2013,130000,1398,Gasoline,Raszyn,Mazowieckie,33900
opel,adam,,2014,36434,1398,Gasoline,Masłowo,Wielkopolskie,31999
opel,adam,,2017,48000,999,Gasoline,Warszawa,Mazowieckie,35500
opel,adam,,2016,54000,999,Gasoline,Pszczyna,Śląskie,36900
opel,adam,,2013,18690,1398,Gasoline,Warszawa,Mazowieckie,26999
opel,adam,,2019,27900,1398,Gasoline,Bydgoszcz,Kujawsko-pomorskie,49000
opel,adam,,2013,162663,1398,Gasoline,Gdańsk,Pomorskie,24900
opel,adam,,2015,67661,1398,Gasoline,Swarzędz,Wielkopolskie,39900
opel,adam,,2018,43000,1398,Gasoline,Gniezno,Wielkopolskie,34900
opel,adam,,2015,61000,1229,Gasoline,Bydgoszcz,Kujawsko-pomorskie,30900
opel,adam,,2015,55000,1398,Gasoline,Starogard Gdański,Pomorskie,32900
opel,adam,,2017,22060,1398,Gasoline,Chełmno,Kujawsko-pomorskie,38900
opel,adam,,2015,14000,1398,Gasoline,Wągrowiec,Wielkopolskie,31900
opel,adam,,2014,50158,1398,Gasoline,Konin,Wielkopolskie,31900
opel,adam,,2016,80637,1398,Gasoline,Starogard Gdański,Pomorskie,32999
opel,adam,,2014,120000,1400,LPG,Kowala,Mazowieckie,25900
opel,adam,,2016,27053,1229,Gasoline,Sierakowice,Pomorskie,32900
opel,adam,,2015,122298,1398,Gasoline,Syców,Dolnośląskie,28900
